feature,01241225178,01241225211,01241225220,01241225226,others_mean,target_minus_others,gap_z
cumul_energy_chrgd,8912.40127388535,10260.575967615108,2614.790196016139,126.39107029765674,4333.919077976301,4578.48219590905,3.3108353361121248
int_temp,0.0,21.497539097766257,29.2146329065667,31.974667511082963,27.562279838471976,-27.562279838471976,-3.0319497836662084
chrg_cnt,327.85992198686614,536.1012901534788,71.29338882358547,9.819189360354654,205.73795611247297,122.12196587439317,2.207851051902024
soh,98.70480422653435,97.19908262224423,97.08496997807923,92.3769474350855,95.55366667846965,3.151137548064696,2.139428182146724
odometer,32807.759097417664,99811.59714011125,54775.58312418591,23783.130145661813,59456.770136653,-26649.011039235338,-1.9301940324722247
ext_temp,0.0,11.803215190610711,17.256758903326237,20.91291956934769,16.657631221094878,-16.657631221094878,-1.5359597184510998
cumul_pw_chrgd,12270.100943070163,28518.666706468244,17075.859211487754,6330.389455351487,17308.305124435825,-5038.2041813656615,-1.2347687608950901
pack_current,-19.91550930726312,-31.22642018813525,-48.00390729739174,-74.38523115896136,-51.20518621482946,31.28967690756634,0.7440157739982107
mod_max_temp,22.507085370068634,25.504353903952005,29.303014899768083,25.183027232425587,26.663465345381894,-4.156379975313261,-0.5849974615311191
mod_min_temp,20.91423492815879,22.83050353845706,26.590494646885027,23.752691576947434,24.39122992076317,-3.4769949926043786,-0.4602347672125706
sub_batt_volt,13.987577149064334,13.534726388443953,13.622867490548654,14.49433185560481,13.883975244865807,0.103601904198527,0.40750757375245983
socd,69.96333876462747,65.15703177330576,65.08985926231851,61.40911969601013,63.8853369105448,6.078001854082665,0.28277216306735076
soc,67.81896509159137,63.21463727174768,63.21363217587445,59.64819506016466,62.02548816926227,5.7934769223290985,0.2784163727209527
pack_volt,351.6952895867279,349.76676180213764,349.67208120214764,346.9813489550349,348.80673065310674,2.888558933621141,0.19263264563478755
min_cell_volt,3.894704981977978,3.873862597198358,3.872520252883058,3.8418366054464848,3.8627398185093003,0.031965163468677726,0.1920148907325449
max_cell_volt,3.901331160815682,3.880309287357661,3.880104838453474,3.8502153261557948,3.87020981732231,0.031121343493372144,0.1868129744001205
cell_volt_dispersion,0.0,0.00030171535078778,0.0007827937859389395,0.0,0.0003615030455755732,-0.0003615030455755732,-0.17169394695904383
insul_resistance,3000.0,2999.9813029676443,2999.964767925787,3000.0,2999.982023631144,0.01797636885612519,0.00832507339955868
batt_internal_temp,0.0,0.0,0.0,0.0,0.0,0.0,
batt_pw,0.0,0.0,0.0,0.0,0.0,0.0,
mod_avg_temp,0.0,0.0,0.0,0.0,0.0,0.0,
